format_name_text,version_text,puid,deprecated
Online Description Tool Format,,x-fmt/3,
FoxPro Database,2,x-fmt/6,
FoxPro Database,2.5,x-fmt/7,
Macintosh Text File,,x-fmt/14,
Unicode Text File,,x-fmt/16,
7-bit ANSI Text,,x-fmt/21,
7-bit ASCII Text,,x-fmt/22,
AutoCAD Batch Plot File,1.0-R14,x-fmt/26,
AutoCAD Batch Plot File,2000-2005,x-fmt/27,
CorelDraw Template,,x-fmt/30,
Harvard Graphics Chart,3,x-fmt/32,
AutoCAD Colour-Dependant Plot Style Table,,x-fmt/37,
AutoCAD Custom Dictionary,,x-fmt/38,
AutoCAD dbConnect Query Set,,x-fmt/39,
AutoCAD dbConnect Template Set,,x-fmt/40,
Wordperfect Secondary File,5,x-fmt/42,
Wordperfect Secondary File,5.1/5.2,x-fmt/43,
WordPerfect for MS-DOS/Windows Document,6,x-fmt/44,
Microsoft Word Document Template,97-2003,x-fmt/45,
Microsoft Excel ODBC Query,,x-fmt/46,
Visual Basic Macro,,x-fmt/48,
AutoCAD Drawing Standards File,,x-fmt/50,
AutoCAD Drawing Template,,x-fmt/51,
Drawing Interchange Format Style Extract,,x-fmt/52,
Macromedia Freehand,5,x-fmt/53,
AutoCAD Font Mapping Table,,x-fmt/54,
Frame Vector Metafile,,x-fmt/55,
Ventura Publisher Vector Graphics,,x-fmt/57,
Microsoft Excel Web Query,,x-fmt/58,
AutoCAD Last Saved Layer State,,x-fmt/59,
AutoCAD Linetype Definition File,,x-fmt/60,
AutoCAD Landscape Library,,x-fmt/61,
Log File,,x-fmt/62,
AutoLISP File,,x-fmt/63,
Microsoft Access Database,2,x-fmt/66,
Met Metafile,,x-fmt/67,
AutoCAD Compiled Menu,,x-fmt/68,
AutoLISP Menu Source File,,x-fmt/69,
AutoCAD Menu Resource File,,x-fmt/70,
AutoCAD Source Menu File,,x-fmt/71,
AutoCAD Template Menu File,,x-fmt/72,
Microsoft Outlook Address Book,,x-fmt/73,
Microsoft Excel OLAP Query,,x-fmt/74,
Microsoft Outlook Personal Address Book,,x-fmt/75,
CorelDraw Pattern,,x-fmt/76,
AutoCAD Plot Configuration File,R14,x-fmt/77,
AutoCAD Plot Configuration File,2000,x-fmt/78,
AutoCAD Plot Configuration File,1.0-R13,x-fmt/79,
Macintosh PICT Image,1,x-fmt/80,
Inkwriter/Notetaker Template,,x-fmt/81,
Lotus 1-2-3 Chart,,x-fmt/82,
Hewlett Packard Vector Graphic Plotter File,,x-fmt/83,
Microsoft Powerpoint Design Template,,x-fmt/84,
Microsoft Powerpoint Add-In,,x-fmt/86,
Microsoft Powerpoint Presentation,4,x-fmt/88,
Freelance File,1.0-2.1,x-fmt/89,
Microsoft Print File,,x-fmt/90,
Postscript Support File,,x-fmt/93,
Pocket Word Document,,x-fmt/94,
Inkwriter/Notetaker Document,,x-fmt/95,
Pocket Word Template,,x-fmt/96,
Microsoft Excel OLE DB Query,,x-fmt/97,
AutoCAD ACIS Export File,,x-fmt/98,
Schedule+ Contacts,,x-fmt/99,
AutoCAD Script,,x-fmt/100,
Harvard Graphics Show,3,x-fmt/101,
3D Studio Shapes,,x-fmt/102,
AutoCAD Compiled Shape/Font File,,x-fmt/103,
AutoCAD Slide Library,,x-fmt/104,
Microsoft Symbolic Link (SYLK) File,,x-fmt/106,
AutoCAD Named Plot Style Table,,x-fmt/107,
Scalable Vector Graphics Compressed,,x-fmt/109,
Fixed Width Values Text File,,x-fmt/110,
Plain Text File,,x-fmt/111,
AutoCAD External Database Configuration File,,x-fmt/112,
Lotus 1-2-3 Worksheet,2,x-fmt/114,
Lotus 1-2-3 Worksheet,3,x-fmt/115,
Lotus 1-2-3 Worksheet,04-May,x-fmt/116,
Lotus 1-2-3 Worksheet,1,x-fmt/117,
Microsoft Works for Windows,4,x-fmt/120,
Microsoft Excel Macro,4,x-fmt/123,
Microsoft Excel Add-In,,x-fmt/124,
Microsoft Excel Toolbar,,x-fmt/125,
Microsoft Excel Chart,4,x-fmt/126,
AutoCAD Xref Log,,x-fmt/127,
Microsoft Excel Workspace,,x-fmt/128,
MS-DOS Text File with line breaks,,x-fmt/130,
Stationery for Mac OS X,,x-fmt/131,
Speller Custom Dictionary,,x-fmt/132,
Speller Exclude Dictionary,,x-fmt/133,
AutoCAD Device-Independent Binary Plotter File,,x-fmt/134,
Electronic Arts Music,,x-fmt/137,
Active Server Page,,x-fmt/138,
NeXT/Sun sound,,x-fmt/139,
OS/2 Change Control File,,x-fmt/143,
Corel Photo-Paint Image,,x-fmt/144,
Stats+ Data File,,x-fmt/145,
Scitex Continuous Tone Bitmap,,x-fmt/146,
Paradox Database Table,7,x-fmt/147,
IBM DisplayWrite DCA Text File,,x-fmt/148,
Desktop Color Separation File,,x-fmt/149,
Visual FoxPro Database Container File,,x-fmt/150,
Micrografx Designer,,x-fmt/151,
Digital Video,,x-fmt/152,
AutoDesk FLIC Animation,,x-fmt/154,
AutoCAD Film Roll,,x-fmt/155,
Ventura Publisher,,x-fmt/156,
Interchange File,,x-fmt/157,
GEM Image,,x-fmt/159,
Java Servlet Page,,x-fmt/160,
Adobe FrameMaker Interchange Format,,x-fmt/162,
NAP Metafile,,x-fmt/163,
Portable Bitmap Image - ASCII,,x-fmt/164,
PICS Animation,,x-fmt/166,
Adobe PhotoDeluxe,,x-fmt/167,
PHP Script Page,,x-fmt/169,
PC Paint Bitmap,,x-fmt/170,
Inset Systems Bitmap,,x-fmt/171,
Microsoft FoxPro Library,,x-fmt/172,
PageMaker Document,5,x-fmt/173,
PageMaker Document,6,x-fmt/174,
MacPaint Graphics,,x-fmt/175,
Microsoft PowerPoint Graphics File,,x-fmt/177,
Portable Pixel Map - ASCII,,x-fmt/178,
Microsoft Visual Modeller Petal file (ASCII),,x-fmt/179,
Instalit Script,,x-fmt/180,
PageMaker Document,6.5,x-fmt/181,
RealAudio Metafile,,x-fmt/183,
Raw Bitmap,,x-fmt/185,
SDSC Image Tool Wavefront Raster Image,,x-fmt/188,
SDSC Image Tool Run-Length Encoded Bitmap,,x-fmt/189,
RealMedia,,x-fmt/190,
AMI Professional Document,,x-fmt/191,
SAS for MS-DOS Catalog,,x-fmt/192,
Unisys (Sperry) System Data File,,x-fmt/193,
Standard Generalized Markup Language,,x-fmt/195,
DataFlex Query Tag Name,,x-fmt/197,
Pagemaker TableEditor Graphics,,x-fmt/198,
Turbo Debugger Keystroke Recording File,,x-fmt/199,
PageMaker Time Stamp File,4,x-fmt/200,
CCITT G.711 Audio,,x-fmt/201,
WordPerfect for Windows Document,5.2,x-fmt/203,
Microsoft Word for Windows Macro,,x-fmt/204,
WordStar for MS-DOS Document,5,x-fmt/205,
WordStar for Windows Document,1,x-fmt/206,
X-Windows Pixmap Image,X10,x-fmt/208,
SDSC Image Tool X Window Dump Format,,x-fmt/209,
XYWrite Document,,x-fmt/210,
XYWrite Document,III,x-fmt/211,
Quicken Data File,,x-fmt/213,
GEM Metafile Format,1,x-fmt/215,
Microsoft Powerpoint Packaged Presentation,,x-fmt/216,
Adobe ACD,,x-fmt/217,
Internet Archive,1,x-fmt/219,
Applixware Spreadsheet,,x-fmt/220,
MapBrowser/MapWriter Vector Map Data,,x-fmt/221,
CD Audio,,x-fmt/222,
Autodesk Animator CEL File Format,,x-fmt/223,
Cascading Style Sheet,,x-fmt/224,
ESRI MapInfo Data File,,x-fmt/225,
Applixware Bitmap,,x-fmt/228,
Intergraph Raster Image,,x-fmt/229,
