PUID,Name,Version,Extensions,Signatures?,MIMEType,Deprecated?
fmt/1,Broadcast WAVE,0 Generic,wav ,1,audio/x-wav,
fmt/10,Tagged Image File Format,6,,0,,yes
fmt/100,Hypertext Markup Language,4.01,htm html ,1,text/html,
fmt/1000,TZX Format,,tzx ,1,,
fmt/1001,OpenEXR,2,exr ,1,image/x-exr,
fmt/1002,Nearly Raw Raster Data,1,nrrd ,1,,
fmt/1003,Nearly Raw Raster Data,2,nrrd ,1,,
fmt/1004,Nearly Raw Raster Data,3,nrrd ,1,,
fmt/1005,Nearly Raw Raster Data,4,nrrd ,1,,
fmt/1006,Nearly Raw Raster Data,5,nrrd ,1,,
fmt/1007,Digital Speech Standard,,dss ,1,,
fmt/1008,DSS Pro,,ds2 ,1,,
fmt/1009,FBX (Filmbox) Binary,,,1,,
fmt/101,Extensible Markup Language,1,xml ,1,application/xml,
fmt/1010,FBX (Filmbox) Text,,fbx ,1,,
fmt/1011,INTERLIS Transfer File,2.2,xml xtf ,2,,
fmt/1012,INTERLIS Model File,2.2,ili ,1,,
fmt/1013,INTERLIS Transfer File,1,itf ,1,,
fmt/1014,INTERLIS Model File,1,ili ,1,,
fmt/1015,Statistical Analysis System Data (Windows),Generic,sas7bdat sd7 ,1,,
fmt/1016,Statistical Analysis System Data (Unix),Generic,sas7bdat sd7 ,1,,
fmt/1017,Statistical Analysis System Data (Windows),8.2,sas7bdat sd7 ,1,,
fmt/1018,Statistical Analysis System Data (Unix),8.2,sas7bdat sd7 ,1,,
fmt/1019,Statistical Analysis System Data (Windows),9.2,sas7bdat sd7 ,1,,
fmt/102,Extensible Hypertext Markup Language,1,htm html ,1,application/xhtml+xml,
fmt/1020,Statistical Analysis System Data (Unix),9.2,sas7bdat sd7 ,1,,
fmt/1021,Statistical Analysis System Data (Windows),9.3,sas7bdat sd7 ,1,,
fmt/1022,Statistical Analysis System Data (Unix),9.3,sas7bdat sd7 ,1,,
fmt/1023,Statistical Analysis System Catalog (Windows),Generic,sas7bcat sc7 ,1,,
fmt/1024,Statistical Analysis System Catalog (Unix),Generic,sas7bcat sc7 ,1,,
fmt/1025,Statistical Analysis System Catalog (Windows),9.2,sas7bcat sc7 ,1,,
fmt/1026,Statistical Analysis System Catalog (Unix),9.2,sas7bcat sc7 ,1,,
fmt/1027,Statistical Analysis System Catalog (Windows),9.3,sas7bcat sc7 ,1,,
fmt/1028,Statistical Analysis System Catalog (Unix),9.3,sas7bcat sc7 ,1,,
fmt/1029,Stata Data (DTA) Format,104,dta ,1,,
